date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:24	75502/75502	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/index.html	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/index.html	(from )
22:04:25	796/796	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Sep%202025%2004:03:24%20GMT	https://devsaidul.com/robots.txt		(from )
22:04:25	755/755	---M--	200	added ('OK')	image/png	date:Sat,%2013%20May%202023%2018:30:24%20GMT	https://devsaidul.com/tf/assets/img/favicon.png	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/img/favicon.png	(from https://devsaidul.com/tf/index.html)
22:04:25	194901/194901	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/bootstrap.min.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/bootstrap.min.css	(from https://devsaidul.com/tf/index.html)
22:04:25	68606/68606	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/animate.min.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/animate.min.css	(from https://devsaidul.com/tf/index.html)
22:04:26	92214/92214	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/icofont.min.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/icofont.min.css	(from https://devsaidul.com/tf/index.html)
22:04:26	7302/7302	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/magnific-popup.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/magnific-popup.css	(from https://devsaidul.com/tf/index.html)
22:04:26	174247/174247	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/fontawesome-all.min.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/fontawesome-all.min.css	(from https://devsaidul.com/tf/index.html)
22:04:26	3830/3830	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/odometer.min.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/odometer.min.css	(from https://devsaidul.com/tf/index.html)
22:04:27	4145/4145	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/nice-select.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/nice-select.css	(from https://devsaidul.com/tf/index.html)
22:04:27	3644/3644	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/meanmenu.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/meanmenu.css	(from https://devsaidul.com/tf/index.html)
22:04:27	17691/17691	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/swipper.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/swipper.css	(from https://devsaidul.com/tf/index.html)
22:04:27	248814/248814	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2018:30:25%20GMT	https://devsaidul.com/tf/assets/css/main.css	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/css/main.css	(from https://devsaidul.com/tf/index.html)
22:04:28	1291/1291	---M--	200	added ('OK')	image/png	date:Sat,%2013%20May%202023%2018:30:24%20GMT	https://devsaidul.com/tf/assets/img/logo/logo.png	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/img/logo/logo.png	(from https://devsaidul.com/tf/index.html)
22:04:28	9095/9095	---M--	200	added ('OK')	image/png	date:Sat,%2013%20May%202023%2018:30:24%20GMT	https://devsaidul.com/tf/assets/img/logo/logo-bg.png	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/img/logo/logo-bg.png	(from https://devsaidul.com/tf/index.html)
22:04:28	1552/1552	---M--	200	added ('OK')	image/png	date:Sat,%2013%20May%202023%2018:30:24%20GMT	https://devsaidul.com/tf/assets/img/bg/flag.png	C:/Users/Administrator/Desktop/webinarsafety/devsaidul.com/tf/assets/img/bg/flag.png	(from https://devsaidul.com/tf/index.html)
